ID_Registro,Ciudad,Fecha,Hora,Latitud,Longitud,Tipo_Zona,Tipo_Sensor,Fuente_Principal_Ruido,Nivel_Ruido_dB,Clasificacion_Normativa,Indice_Movilidad,Flujo_Vehicular_veh_h,Velocidad_Promedio_kmh,Saturacion_Transporte,Condicion_Climatica,Calidad_Señal_Sensor,Observaciones,Franja_Horaria,Es_Hora_Pico,Supera_Limite_Normativo,Indice_Congestion,Ratio_Ruido_Velocidad,Es_Diurno,Mes,Trimestre
COL-0630,Barranquilla,2022-02-03,16,10.9225,-74.833,Hospitalaria,Sensor_Móvil,Construcción,62.6,Crítico,41,611,41.0,0.48,Despejado,0.72,Moto dañada transitando,Tarde,0,1,0.452,1.5268,1,2,1
COL-0181,Barranquilla,2022-02-23,16,10.9573,-74.8025,Residencial,Sensor_Fijo,Comercio,44.6,Bajo,36,395,46.6,0.42,Nublado,0.97,Semáforo averiado,Tarde,0,0,0.396,0.9571,1,2,1
COL-0886,Barranquilla,2022-02-28,19,10.9859,-74.8049,Residencial,Sensor_Fijo,Construcción,66.6,Crítico,54,441,40.7,0.78,Despejado,0.8,Medición estándar,Noche,1,1,0.684,1.6364,1,2,1
COL-0744,Barranquilla,2022-03-08,5,10.9864,-74.7975,Hospitalaria,Sensor_Móvil,Comercio,33.6,Bajo,0,0,65.6,0.0,Nublado,0.94,Moto dañada transitando,Madrugada,0,0,0.0,0.5122,0,3,1
COL-0478,Barranquilla,2022-03-19,9,10.939,-74.8248,Residencial,Sensor_Fijo,Transporte_Público,66.9,Crítico,58,740,35.3,0.82,Despejado,0.73,Evento especial cercano,Mañana,1,1,0.724,1.8952,1,3,1
COL-0986,Barranquilla,2022-04-03,14,10.9727,-74.8002,Industrial,Sensor_Ciudadano,Comercio,81.6,Alto,44,545,46.2,0.6,Despejado,0.81,Medición estándar,Tarde,0,1,0.536,1.7662,1,4,2
COL-0390,Barranquilla,2022-05-07,5,10.979,-74.8233,Comercial,Sensor_Ciudadano,Eventos,48.1,Bajo,35,347,47.2,0.49,Nublado,0.83,Alta afluencia peatonal,Madrugada,0,0,0.434,1.0191,0,5,2
COL-0571,Barranquilla,2022-06-12,11,11.002,-74.7693,Residencial,Sensor_Móvil,Construcción,52.3,Moderado,24,255,54.8,0.29,Lluvioso,0.91,Mercado informal,Mañana,0,0,0.27,0.9544,1,6,2
COL-0551,Barranquilla,2022-06-17,6,10.9979,-74.7883,Residencial,Sensor_Ciudadano,Tráfico_Vehicular,32.4,Bajo,20,249,51.0,0.23,Despejado,0.88,Operación normal,Mañana,0,0,0.218,0.6353,1,6,2
COL-0532,Barranquilla,2022-06-21,1,10.9977,-74.8448,Comercial,Sensor_Fijo,Transporte_Público,54.5,Bajo,22,255,53.6,0.29,Despejado,0.85,Mercado informal,Madrugada,0,0,0.262,1.0168,0,6,2
COL-0372,Barranquilla,2022-07-04,8,10.9455,-74.7913,Industrial,Sensor_Móvil,Comercio,88.5,Crítico,74,853,31.4,0.84,Lluvioso,0.8,Semáforo averiado,Mañana,1,1,0.8,2.8185,1,7,3
COL-0960,Barranquilla,2022-07-04,20,10.9263,-74.7571,Industrial,Sensor_Fijo,Comercio,74.2,Moderado,57,612,44.4,0.72,Nublado,0.77,Semáforo averiado,Noche,0,1,0.66,1.6712,1,7,3
COL-0539,Barranquilla,2022-07-07,2,10.9559,-74.7846,Hospitalaria,Sensor_Fijo,Transporte_Público,42.9,Moderado,9,98,54.5,0.26,Lluvioso,0.9,Evento especial cercano,Madrugada,0,0,0.192,0.7872,0,7,3
COL-0326,Barranquilla,2022-07-30,21,10.9385,-74.8125,Residencial,Sensor_Fijo,Tráfico_Vehicular,52.6,Moderado,27,368,52.8,0.45,Lluvioso,0.84,Mercado informal,Noche,0,0,0.378,0.9962,1,7,3
COL-0580,Barranquilla,2022-08-16,15,10.9537,-74.7978,Residencial,Sensor_Fijo,Transporte_Público,52.5,Moderado,26,304,58.7,0.25,Ventoso,0.94,Moto dañada transitando,Tarde,0,0,0.254,0.8944,1,8,3
COL-0058,Barranquilla,2022-08-21,22,10.9775,-74.7815,Residencial,Sensor_Fijo,Mixta,53.2,Moderado,0,0,55.7,0.12,Despejado,0.95,Moto dañada transitando,Noche,0,0,0.072,0.9551,0,8,3
COL-0148,Barranquilla,2022-09-08,21,10.9696,-74.8067,Residencial,Sensor_Ciudadano,Tráfico_Vehicular,49.1,Moderado,28,340,50.2,0.37,Despejado,0.94,Operación normal,Noche,0,0,0.334,0.9781,1,9,3
COL-0849,Barranquilla,2022-09-12,15,11.009,-74.8014,Residencial,Sensor_Fijo,Transporte_Público,52.1,Moderado,32,412,42.9,0.37,Lluvioso,0.84,Obra en construcción,Tarde,0,0,0.35,1.2145,1,9,3
COL-0441,Barranquilla,2022-09-22,6,10.9181,-74.8459,Residencial,Sensor_Móvil,Eventos,34.2,Bajo,30,425,44.7,0.43,Nublado,0.81,Semáforo averiado,Mañana,0,0,0.378,0.7651,1,9,3
COL-0819,Barranquilla,2022-09-23,16,10.935,-74.8291,Comercial,Sensor_Ciudadano,Tráfico_Vehicular,60.6,Moderado,59,736,37.4,0.84,Nublado,0.84,Festival o concierto,Tarde,0,0,0.74,1.6203,1,9,3
COL-0218,Barranquilla,2022-11-15,5,10.9321,-74.7594,Residencial,Sensor_Ciudadano,Transporte_Público,35.6,Bajo,0,0,55.9,0.09,Lluvioso,0.79,Festival o concierto,Madrugada,0,0,0.054,0.6369,0,11,4
COL-0041,Barranquilla,2022-12-24,16,10.9872,-74.7483,Residencial,Sensor_Móvil,Tráfico_Vehicular,46.3,Bajo,28,282,48.7,0.32,Lluvioso,0.83,Mercado informal,Tarde,0,0,0.304,0.9507,1,12,4
COL-0697,Barranquilla,2023-01-05,20,10.9151,-74.7955,Residencial,Sensor_Fijo,Tráfico_Vehicular,40.1,Bajo,33,493,50.5,0.46,Despejado,0.72,Medición estándar,Noche,0,0,0.408,0.7941,1,1,1
COL-0951,Barranquilla,2023-01-24,19,10.991,-74.785,Residencial,Sensor_Fijo,Transporte_Público,57.1,Alto,56,642,42.1,0.65,Despejado,0.85,Operación normal,Noche,1,1,0.614,1.3563,1,1,1
COL-0468,Barranquilla,2023-01-29,19,10.9398,-74.8372,Residencial,Sensor_Fijo,Comercio,55.7,Alto,62,544,30.8,0.77,Lluvioso,0.77,Operación normal,Noche,1,1,0.71,1.8084,1,1,1
COL-0863,Barranquilla,2023-02-07,20,10.9253,-74.8216,Comercial,Sensor_Fijo,Construcción,68.6,Moderado,69,604,27.8,0.86,Nublado,0.9,Moto dañada transitando,Noche,0,1,0.792,2.4676,1,2,1
COL-0919,Barranquilla,2023-02-22,14,10.9822,-74.8093,Comercial,Sensor_Móvil,Transporte_Público,60.5,Moderado,53,670,38.8,0.78,Despejado,0.7,Mercado informal,Tarde,0,0,0.68,1.5593,1,2,1
COL-0857,Barranquilla,2023-04-07,15,11.0076,-74.7742,Residencial,Sensor_Ciudadano,Tráfico_Vehicular,51.6,Moderado,26,296,52.1,0.39,Despejado,0.72,Medición estándar,Tarde,0,0,0.338,0.9904,1,4,2
COL-0469,Barranquilla,2023-04-09,21,10.9491,-74.7683,Hospitalaria,Sensor_Fijo,Tráfico_Vehicular,40.7,Moderado,33,395,49.3,0.41,Nublado,0.78,Alta afluencia peatonal,Noche,0,0,0.378,0.8256,1,4,2
COL-0269,Barranquilla,2023-04-17,3,10.9561,-74.8382,Industrial,Sensor_Móvil,Tráfico_Vehicular,67.8,Bajo,22,302,46.3,0.24,Nublado,0.87,Moto dañada transitando,Madrugada,0,0,0.232,1.4644,0,4,2
COL-0549,Barranquilla,2023-04-28,9,10.9261,-74.7691,Residencial,Sensor_Ciudadano,Construcción,64.3,Crítico,64,904,32.1,0.9,Despejado,0.99,Festival o concierto,Mañana,1,0,0.796,2.0031,1,4,2
COL-0496,Barranquilla,2023-05-02,10,11.0123,-74.7859,Residencial,Sensor_Fijo,Comercio,47.0,Moderado,20,227,51.8,0.29,Despejado,0.73,Semáforo averiado,Mañana,0,0,0.254,0.9073,1,5,2
COL-0022,Barranquilla,2023-05-14,22,10.959,-74.7463,Hospitalaria,Sensor_Fijo,Comercio,42.0,Moderado,2,22,64.7,0.0,Despejado,0.93,Operación normal,Noche,0,0,0.008,0.6491,0,5,2
COL-0399,Barranquilla,2023-05-23,12,10.9547,-74.755,Mixta,Sensor_Fijo,Tráfico_Vehicular,67.5,Alto,48,566,43.0,0.65,Despejado,0.94,Obra en construcción,Tarde,0,0,0.582,1.5698,1,5,2
COL-0573,Barranquilla,2023-06-09,8,10.9694,-74.749,Residencial,Sensor_Fijo,Tráfico_Vehicular,50.7,Moderado,56,567,35.0,0.78,Despejado,0.7,Semáforo averiado,Mañana,1,0,0.692,1.4486,1,6,2
