ID_Registro,Ciudad,Fecha,Hora,Latitud,Longitud,Tipo_Zona,Tipo_Sensor,Fuente_Principal_Ruido,Nivel_Ruido_dB,Clasificacion_Normativa,Indice_Movilidad,Flujo_Vehicular_veh_h,Velocidad_Promedio_kmh,Saturacion_Transporte,Condicion_Climatica,Calidad_Señal_Sensor,Observaciones
COL-0630,Barranquilla,2022-02-03,16,10.9225,-74.833,Hospitalaria,Sensor_Móvil,Construcción,62.6,Crítico,41,611,41.0,0.48,Despejado,0.72,Moto dañada transitando
COL-0181,Barranquilla,2022-02-23,16,10.9573,-74.8025,Residencial,Sensor_Fijo,Comercio,44.6,Bajo,36,395,46.6,0.42,Nublado,0.97,Semáforo averiado
COL-0886,Barranquilla,2022-02-28,19,10.9859,-74.8049,Residencial,Sensor_Fijo,Construcción,66.6,Crítico,54,441,40.7,0.78,Despejado,0.8,Medición estándar
COL-0744,Barranquilla,2022-03-08,5,10.9864,-74.7975,Hospitalaria,Sensor_Móvil,Comercio,33.6,Bajo,0,0,65.6,0.0,Nublado,0.94,Moto dañada transitando
COL-0478,Barranquilla,2022-03-19,9,10.939,-74.8248,Residencial,Sensor_Fijo,Transporte_Público,66.9,Crítico,58,740,35.3,0.82,Despejado,0.73,Evento especial cercano
COL-0986,Barranquilla,2022-04-03,14,10.9727,-74.8002,Industrial,Sensor_Ciudadano,Comercio,81.6,Alto,44,545,46.2,0.6,Despejado,0.81,Medición estándar
COL-0390,Barranquilla,2022-05-07,5,10.979,-74.8233,Comercial,Sensor_Ciudadano,Eventos,48.1,Bajo,35,347,47.2,0.49,Nublado,0.83,Alta afluencia peatonal
COL-0571,Barranquilla,2022-06-12,11,11.002,-74.7693,Residencial,Sensor_Móvil,Construcción,52.3,Moderado,24,255,54.8,0.29,Lluvioso,0.91,Mercado informal
COL-0551,Barranquilla,2022-06-17,6,10.9979,-74.7883,Residencial,Sensor_Ciudadano,Tráfico_Vehicular,32.4,Bajo,20,249,51.0,0.23,Despejado,0.88,Operación normal
COL-0532,Barranquilla,2022-06-21,1,10.9977,-74.8448,Comercial,Sensor_Fijo,Transporte_Público,54.5,Bajo,22,255,53.6,0.29,Despejado,0.85,Mercado informal
COL-0372,Barranquilla,2022-07-04,8,10.9455,-74.7913,Industrial,Sensor_Móvil,Comercio,88.5,Crítico,74,853,31.4,0.84,Lluvioso,0.8,Semáforo averiado
COL-0960,Barranquilla,2022-07-04,20,10.9263,-74.7571,Industrial,Sensor_Fijo,Comercio,74.2,Moderado,57,612,44.4,0.72,Nublado,0.77,Semáforo averiado
COL-0539,Barranquilla,2022-07-07,2,10.9559,-74.7846,Hospitalaria,Sensor_Fijo,Transporte_Público,42.9,Moderado,9,98,54.5,0.26,Lluvioso,0.9,Evento especial cercano
COL-0326,Barranquilla,2022-07-30,21,10.9385,-74.8125,Residencial,Sensor_Fijo,Tráfico_Vehicular,52.6,Moderado,27,368,52.8,0.45,Lluvioso,0.84,Mercado informal
COL-0580,Barranquilla,2022-08-16,15,10.9537,-74.7978,Residencial,Sensor_Fijo,Transporte_Público,52.5,Moderado,26,304,58.7,0.25,Ventoso,0.94,Moto dañada transitando
COL-0058,Barranquilla,2022-08-21,22,10.9775,-74.7815,Residencial,Sensor_Fijo,Mixta,53.2,Moderado,0,0,55.7,0.12,Despejado,0.95,Moto dañada transitando
COL-0148,Barranquilla,2022-09-08,21,10.9696,-74.8067,Residencial,Sensor_Ciudadano,Tráfico_Vehicular,49.1,Moderado,28,340,50.2,0.37,Despejado,0.94,Operación normal
COL-0849,Barranquilla,2022-09-12,15,11.009,-74.8014,Residencial,Sensor_Fijo,Transporte_Público,52.1,Moderado,32,412,42.9,0.37,Lluvioso,0.84,Obra en construcción
COL-0441,Barranquilla,2022-09-22,6,10.9181,-74.8459,Residencial,Sensor_Móvil,Eventos,34.2,Bajo,30,425,44.7,0.43,Nublado,0.81,Semáforo averiado
COL-0819,Barranquilla,2022-09-23,16,10.935,-74.8291,Comercial,Sensor_Ciudadano,Tráfico_Vehicular,60.6,Moderado,59,736,37.4,0.84,Nublado,0.84,Festival o concierto
COL-0218,Barranquilla,2022-11-15,5,10.9321,-74.7594,Residencial,Sensor_Ciudadano,Transporte_Público,35.6,Bajo,0,0,55.9,0.09,Lluvioso,0.79,Festival o concierto
COL-0041,Barranquilla,2022-12-24,16,10.9872,-74.7483,Residencial,Sensor_Móvil,Tráfico_Vehicular,46.3,Bajo,28,282,48.7,0.32,Lluvioso,0.83,Mercado informal
COL-0697,Barranquilla,2023-01-05,20,10.9151,-74.7955,Residencial,Sensor_Fijo,Tráfico_Vehicular,40.1,Bajo,33,493,50.5,0.46,Despejado,0.72,Medición estándar
COL-0951,Barranquilla,2023-01-24,19,10.991,-74.785,Residencial,Sensor_Fijo,Transporte_Público,57.1,Alto,56,642,42.1,0.65,Despejado,0.85,Operación normal
COL-0468,Barranquilla,2023-01-29,19,10.9398,-74.8372,Residencial,Sensor_Fijo,Comercio,55.7,Alto,62,544,30.8,0.77,Lluvioso,0.77,Operación normal
COL-0863,Barranquilla,2023-02-07,20,10.9253,-74.8216,Comercial,Sensor_Fijo,Construcción,68.6,Moderado,69,604,27.8,0.86,Nublado,0.9,Moto dañada transitando
COL-0919,Barranquilla,2023-02-22,14,10.9822,-74.8093,Comercial,Sensor_Móvil,Transporte_Público,60.5,Moderado,53,670,38.8,0.78,Despejado,0.7,Mercado informal
COL-0857,Barranquilla,2023-04-07,15,11.0076,-74.7742,Residencial,Sensor_Ciudadano,Tráfico_Vehicular,51.6,Moderado,26,296,52.1,0.39,Despejado,0.72,Medición estándar
COL-0469,Barranquilla,2023-04-09,21,10.9491,-74.7683,Hospitalaria,Sensor_Fijo,Tráfico_Vehicular,40.7,Moderado,33,395,49.3,0.41,Nublado,0.78,Alta afluencia peatonal
COL-0269,Barranquilla,2023-04-17,3,10.9561,-74.8382,Industrial,Sensor_Móvil,Tráfico_Vehicular,67.8,Bajo,22,302,46.3,0.24,Nublado,0.87,Moto dañada transitando
COL-0549,Barranquilla,2023-04-28,9,10.9261,-74.7691,Residencial,Sensor_Ciudadano,Construcción,64.3,Crítico,64,904,32.1,0.9,Despejado,0.99,Festival o concierto
COL-0496,Barranquilla,2023-05-02,10,11.0123,-74.7859,Residencial,Sensor_Fijo,Comercio,47.0,Moderado,20,227,51.8,0.29,Despejado,0.73,Semáforo averiado
COL-0022,Barranquilla,2023-05-14,22,10.959,-74.7463,Hospitalaria,Sensor_Fijo,Comercio,42.0,Moderado,2,22,64.7,0.0,Despejado,0.93,Operación normal
COL-0399,Barranquilla,2023-05-23,12,10.9547,-74.755,Mixta,Sensor_Fijo,Tráfico_Vehicular,67.5,Alto,48,566,43.0,0.65,Despejado,0.94,Obra en construcción
COL-0573,Barranquilla,2023-06-09,8,10.9694,-74.749,Residencial,Sensor_Fijo,Tráfico_Vehicular,50.7,Moderado,56,567,35.0,0.78,Despejado,0.7,Semáforo averiado
COL-0691,Barranquilla,2023-07-01,7,10.9596,-74.8308,Comercial,Sensor_Fijo,Comercio,79.8,Crítico,83,892,25.1,1.0,Despejado,0.95,Mercado informal
COL-0224,Barranquilla,2023-07-12,9,10.9865,-74.7473,Hospitalaria,Sensor_Móvil,Tráfico_Vehicular,50.5,Crítico,55,479,39.4,0.67,Nublado,0.89,Mercado informal
COL-0677,Barranquilla,2023-07-14,4,10.9768,-74.8066,Residencial,Sensor_Ciudadano,Tráfico_Vehicular,42.6,Bajo,0,0,58.7,0.11,Nublado,0.86,Mercado informal
COL-0602,Barranquilla,2023-08-20,7,10.9687,-74.7527,Comercial,Sensor_Fijo,Eventos,81.6,Crítico,89,976,31.6,1.0,Despejado,0.86,Semáforo averiado
COL-0103,Barranquilla,2023-08-27,16,10.9368,-74.7514,Mixta,Sensor_Móvil,Comercio,65.1,Alto,61,752,37.9,0.68,Lluvioso,0.96,Obra en construcción
COL-0904,Barranquilla,2023-09-11,12,10.9961,-74.8242,Industrial,Sensor_Móvil,Transporte_Público,76.4,Moderado,58,782,30.0,0.75,Despejado,0.83,Alta afluencia peatonal
COL-0246,Barranquilla,2023-09-24,23,10.9957,-74.8169,Comercial,Sensor_Móvil,Mixta,62.6,Moderado,30,370,34.7,0.39,Despejado,0.83,Evento especial cercano
COL-0823,Barranquilla,2023-09-26,2,10.919,-74.7857,Residencial,Sensor_Ciudadano,Transporte_Público,35.0,Bajo,0,0,59.6,0.0,Despejado,0.97,Mercado informal
COL-0281,Barranquilla,2023-10-04,10,10.9951,-74.7572,Educativa,Sensor_Móvil,Tráfico_Vehicular,55.9,Alto,30,291,56.9,0.45,Despejado,0.71,Moto dañada transitando
COL-0932,Barranquilla,2023-10-16,4,11.001,-74.81,Residencial,Sensor_Móvil,Transporte_Público,35.9,Bajo,1,13,64.3,0.05,Despejado,0.75,Semáforo averiado
COL-0032,Barranquilla,2023-11-04,19,10.9992,-74.7601,Comercial,Sensor_Fijo,Tráfico_Vehicular,79.0,Crítico,81,1125,33.4,1.0,Nublado,0.76,Festival o concierto
COL-0920,Barranquilla,2023-11-28,9,10.927,-74.8069,Mixta,Sensor_Fijo,Tráfico_Vehicular,74.2,Crítico,90,776,35.1,1.0,Nublado,0.97,Medición estándar
COL-0273,Barranquilla,2023-12-27,10,10.9822,-74.8291,Hospitalaria,Sensor_Fijo,Comercio,43.6,Moderado,30,392,41.6,0.4,Ventoso,0.93,Obra en construcción
